Date,Open,High,Low,Close,Adj Close,Volume
2019-11-29,236.479996,236.869995,236.080002,236.149994,231.729797,189500
2019-12-02,236.419998,236.490005,231.729996,232.789993,228.432693,515600
2019-12-03,228.990005,231.009995,228.009995,230.940002,226.617340,578900
2019-12-04,232.320007,232.500000,231.410004,231.720001,227.382721,522700
2019-12-05,232.520004,232.759995,231.399994,232.360001,228.010742,354000
2019-12-06,234.199997,235.070007,233.990005,234.910004,230.513031,390100
2019-12-09,234.550003,235.149994,233.580002,233.699997,229.325684,305000
2019-12-10,233.949997,234.770004,233.210007,233.600006,229.227524,730300
2019-12-11,234.199997,235.250000,233.639999,235.139999,230.738708,342100
2019-12-12,234.639999,237.759995,233.880005,237.429993,232.985840,613900
2019-12-13,237.639999,239.500000,236.850006,238.970001,234.497025,540400
2019-12-16,240.009995,241.350006,240.000000,240.460007,236.603699,529300
2019-12-17,240.940002,240.990005,239.570007,240.000000,236.151062,497800
2019-12-18,240.369995,240.929993,239.889999,240.080002,236.229797,406000
2019-12-19,240.320007,241.699997,240.199997,241.660004,237.784454,524600
2019-12-20,243.110001,243.339996,242.470001,243.009995,239.112778,519500
2019-12-23,243.919998,244.320007,243.350006,243.830002,239.919662,430700
2019-12-24,244.100006,244.240005,243.270004,243.850006,239.939331,234600
2019-12-26,244.320007,245.729996,244.320007,245.729996,241.789154,301500
2019-12-27,246.710007,246.750000,244.929993,245.639999,241.700623,349500
2019-12-30,245.500000,245.630005,242.100006,244.179993,240.264008,507000
2019-12-31,243.309998,245.050003,243.000000,244.850006,240.923279,374300
2020-01-02,247.050003,249.360001,246.639999,249.339996,245.341263,1415100
2020-01-03,245.929993,248.389999,245.899994,246.720001,242.763306,1632400
2020-01-06,244.429993,247.630005,243.839996,247.539993,243.570160,524900
2020-01-07,247.869995,248.559998,247.020004,247.509995,243.540619,387200
2020-01-08,247.690002,251.160004,247.380005,250.119995,246.108749,621500
2020-01-09,252.309998,253.020004,251.080002,252.929993,248.873688,576900
2020-01-10,253.960007,254.270004,251.910004,252.380005,248.332504,604400
2020-01-13,253.539993,255.869995,253.389999,255.759995,251.658295,592600
2020-01-14,255.910004,256.190002,254.119995,254.399994,250.320114,965600
2020-01-15,254.690002,255.990005,253.820007,254.610001,250.526779,747800
2020-01-16,256.359985,258.140015,256.019989,258.100006,253.960831,564800
2020-01-17,259.230011,259.769989,257.829987,259.630005,255.466232,541700
2020-01-21,258.880005,260.790009,258.739990,259.250000,255.092331,734800
2020-01-22,261.070007,262.130005,260.070007,260.320007,256.145172,763000
2020-01-23,260.470001,261.609985,259.410004,261.609985,257.414490,464100
2020-01-24,263.489990,263.989990,259.250000,260.260010,256.086121,790800
2020-01-27,254.059998,255.949997,251.440002,254.050003,249.975708,1072300
2020-01-28,256.140015,259.470001,255.679993,258.880005,254.728271,622400
2020-01-29,260.820007,261.369995,258.380005,259.140015,254.984116,648000
2020-01-30,258.880005,261.359985,257.380005,261.209991,257.020905,566300
2020-01-31,259.970001,260.000000,253.270004,254.179993,250.103638,942100
2020-02-03,254.449997,257.890015,254.220001,257.369995,253.242493,974800
2020-02-04,261.730011,264.529999,261.100006,264.100006,259.864594,830100
2020-02-05,268.350006,268.619995,263.450012,265.350006,261.094543,757800
2020-02-06,266.429993,267.480011,265.140015,267.480011,263.190369,518900
2020-02-07,266.109985,267.089996,264.399994,264.980011,260.730469,578600
2020-02-10,263.570007,268.339996,263.450012,268.279999,263.977539,550100
2020-02-11,270.649994,270.850006,267.000000,267.790009,263.495422,536300
2020-02-12,269.529999,270.720001,268.100006,270.640015,266.299683,513900
2020-02-13,268.760010,271.459991,268.309998,270.089996,265.758514,512500
2020-02-14,270.730011,271.760010,269.859985,271.179993,266.831024,482400
2020-02-18,269.269989,270.630005,268.720001,270.190002,265.856934,721800
2020-02-19,271.720001,273.730011,271.720001,273.209991,268.828430,659300
2020-02-20,272.890015,273.510010,266.839996,270.679993,266.339050,856300
2020-02-21,269.220001,269.500000,262.940002,264.679993,260.435272,1140200
2020-02-24,252.179993,257.250000,249.000000,253.850006,249.778961,1955900
2020-02-25,256.000000,256.880005,244.759995,245.779999,241.838364,1792800
2020-02-26,246.320007,251.889999,244.520004,246.350006,242.399216,1788900
2020-02-27,238.220001,243.750000,233.600006,233.600006,229.853683,2518400
2020-02-28,224.369995,237.330002,223.789993,235.649994,231.870819,3536000
2020-03-02,239.380005,248.020004,234.979996,248.020004,244.042450,2176000
2020-03-03,249.600006,251.199997,236.479996,238.970001,235.137573,2091200
2020-03-04,244.429993,248.899994,240.710007,248.720001,244.731201,951100
2020-03-05,242.270004,246.850006,239.429993,240.940002,237.075989,948100
